hName,hGender,hClass,hOccupaton,hLocale,svName,svEthnicity,svGender,svAge,svActive,bName,bGender,bClass,bOccupation,bLocale,term,pL,pD,pF,pS,nurse,p/Yr,Year,actDate
Giorgio de Marini,male,nobiles,,,Maria,Circassian,female,28,,Giovanni Delfino,male,artefices,,,10,100,,,,,10,1472,1472-02-16
Giovanni de Vallebella,male,artefices,lanerius,,Caterina,Turkish,female,,,Bartolomeo Doria,male,nobiles,,,6,60,,,,,10,1494,1494-10-16
Giovanni Spinola,male,nobiles,,,Maddalena,Moorish,female,28,,Uberto de Magnasco,male,artefices,seatarius,,10,100,,,,,10,1492,1492
Giovanni Usodimare,male,nobiles,,,Margherita,Circassian,female,38,,Meliaduce Cicala,male,nobiles,,,10,100,,,,,10,1468,1468-11-09
Girolamo de Monelia,male,artefices,,,Caterina,Moorish,female,30,,Matteo Lomellini,male,nobiles,,,12,120,,,,,10,1494,1494
Girolamo Navone,male,artefices,,,Margherita,,female,24,,Enrico Tonso,male,artefices,,,15,150,,,,,10,1497,1497
Gregorio Piccaluga,male,artefices,,,Maria,Turkish,female,25,,Bianca Cibo,female,nobiles,,,12,120,,,,,10,1489,1489-04-29
Ilario Squarciafìco,male,nobiles,,,Melica,Bosnian,female,34,,Tommaso Gentile,male,nobiles,,,8,80,,,,,10,1479,1479-07-26
Isolta de Montaldo,female,artefices,,,Elena,Circassian,female,25,,,,,,,17,170,,,,,10,1466,1466-08-01
Lorenzo Giustiniani,male,mercantes,,,Maria,Hungarian,female,33,,Gregorio de Beningassio,male,mercantes,,,6,60,,,,,10,,1476-03-07
Maria de Passano,female,nobiles,,,Caterina,Albanian,female,29,,Stefano Gentile,male,nobiles,,,10,100,,,,,10,1476,1476
Mariola de Albingana,female,artefices,,Albenga,Maddalena,Circassian,female,45,,Giuliano Grimaldi,male,nobiles,,,9,90,,,,,10,1483,1483
Mariola Fieschi,female,mercantes,,,Margherita,Mingrelian,female,26,,Paride Fieschi,male,mercantes,,,11,110,,,,,10,1478,1478
Melchiorre de Monleone,male,artefices,,,Maria,Russian,female,15,,Bartolomeo Orabonis,male,,,,4,40,,,,,10,1473,1473-06-16
Melchiorre de Monleone,male,artefices,,,Maria,Russian,female,15,,Pietro Orabonis,male,,,,4,40,,,,,10,1473,1473-06-16
Niccolò Piccamiglio,male,nobiles,,,Maria,,female,,,Giovanni de Novi,male,artefices,notarius,Novi Ligure,12,120,,,,,10,1486,1486
Pietro de Rettalio,male,artefices,seatarius,,Melica,Albanian,female,36,,Gregorio Castagnola,male,nobiles,,,10,100,,,,,10,1492,1492-08-03
Raffaele Salvago,male,nobiles,,,Marta,Russian,female,45,,Stefano Spinola,male,nobiles,,,7,70,,,,,10,1497,1497
Stefano Braccelli,male,artefices,notarius | cancellarius,,Francisca,Moorish,female,20,,Girolamo de Porta,male,artefices,,,5,50,,,,,10,1495,1495
Teodolinda Fieschi,female,mercantes,,,Lucia,Circassian,female,35,,Lorenzo di Negro,male,nobiles,,,12,120,,,,,10,1484,1484-02-15
Teramo Centurione,male,nobiles,,,Caterina,,female,35,,Francesco de Gradi,male,mercantes,,,10,100,,,,,10,1486,1486
The sisters of the monastery of San Sepulcro,female,ecclesiastical,,,Lucia,Abkhazan,female,25,,Bartolomeo Doria,male,nobiles,,,13,130,,,,,10,1449,1449-06-12
Violante Grimaldi,female,nobiles,,,Lucia,Circassian,female,40,,Carlo Centurione,male,nobiles,,,5,50,,,,,10,1476,1476-07-19
,,,,,Lucia,Tartaran,female,22,,— Lomellini,male,nobiles,,,9,90,,,,,10,1453,1453
Mariola Grimaldi,female,nobiles,,,Maddalena,Abkhazan,female,40,,Francesco Doria,male,nobiles,,,8.3,83.5,,,,,10.06,1485,1485-03-20
Oberto de Sancta Agnete,male,artefices,bancalarus,,Luchina,,female,14,,Andrea de Petra,male,artefices,lanerius,Pietra Ligure,3,31,,,,,10.3,1439,1439-03-11
Francesco Maruffo,male,mercantes,,,Margherita,Abkhazan,female,28,,Paolina Raggi,female,artefices,,,12,125,,,,,10.42,1456,1456
Raffaele Doria,male,nobiles,,,Maria,Albanian,female,35,,Niccolò Piccamiglio,male,nobiles,,,12,125,,,,,10.42,1485,1485
Battista de Palodio,male,artefices,,,Maria,Hungarian,female,,,Alessandro Ravascherio,male,ecclesiastical,abbas,,9,95,,,,,10.56,1487,1487
