Omeka ID,cidoc-crm:P149_is_identified_by,name_pedigree,name_source,edgeName,cidoc-crm:P152_has_parent,UUID-target,name_target
25072,64796865-2253-48ea-ab75-150a11ace802,Silvestro Lomellini q. Ambrogio,Silvestro Lomellini,—hasFather—>,23910,806a9714-8c3e-4396-a356-9cea0ff9c8fe,Ambrogio Lomellini
23742,0cff9bd0-8ec6-404a-a611-ed9c1c3dd78e,Silvia Imperiale q. Davide,Silvia Imperiale,—hasFather—>,23731,d02ca0ad-d36a-4e2a-a4a0-56dbe7a80b4c,Davide Imperiale
25073,a1e0096c-da2a-47e8-9439-6dfa8c7446f0,Silvia Lomellini q. Giovanni Giacomo,Silvia Lomellini,—hasFather—>,24514,4c8510c4-ee5e-4be9-807c-eb336dc4cd54,Giovanni Giacomo Lomellini
25237,a94c3c26-d78b-4236-ae92-396ea8390f47,Simona da Lumbello q. Ogerio da,Simona da Lumbello,—hasFather—>,25235,78d77e1b-e323-4c7b-8a02-794bf9066231,Ogerio da Lumbello
25236,1be959fe-6d36-446c-9812-9e09223bffb4,Simona da Lumbello q. Ugone da,Simona da Lumbello,—hasFather—>,25238,cc6d0100-dbe9-42e7-a087-b88b4a7d1626,Ugone da Lumbello
23638,de95dad9-6a5e-4956-97b3-23f2bf20825c,Simona Grillo q. Federico,Simona Grillo,—hasFather—>,23619,e7b3c70b-826b-4c73-ace4-e2ad7f7a7342,Federico Grillo
25076,c3421ea6-a506-40c5-a394-03b0110ee818,Simona Lomellini q. Antonio,Simona Lomellini,—hasFather—>,23972,2bef7b36-045e-45be-93fb-dab6950a4f24,Antonio Lomellini
25074,a5d2dc47-336b-4130-9764-29c6ec25c1e1,Simona Lomellini q. Egidio,Simona Lomellini,—hasFather—>,24274,269574ec-063b-46b8-b8a9-74b48274ff06,Egidio Lomellini
25075,418eb200-0ba8-423e-b3f9-69939a2d8aed,Simona Lomellini q. Goffredo,Simona Lomellini,—hasFather—>,24605,753e8caf-fdf3-4a07-bccf-577eb1d0ebda,Goffredo Lomellini
25327,0a913f5b-741a-4799-8d74-741741b4b8ef,Simone de Marini q. Stefano de,Simone de Marini,—hasFather—>,25329,fc3aaf15-46cc-4c86-a69c-09992600f60a,Stefano de Marini
25395,a8bdc184-4737-4600-b17e-8931d3846453,Simone de Nigro q. Filippino de,Simone de Nigro,—hasFather—>,25394,0412abc1-0a89-4e29-a31e-56c46ddecbcc,Filippino de Nigro
23516,00f3c92c-0020-42b7-9cf8-bcfc85cd16ca,Simone Garbarino q. Giulio,Simone Garbarino,—hasFather—>,23515,ce60bde9-2dbe-480b-8bd5-1cfe3273a0ed,Giulio Garbarino
25083,7c13ddbf-1c62-4056-9c8c-b1bcc0e1611c,Simone Lomellini q. Abraino,Simone Lomellini,—hasFather—>,23869,bb9e8b78-bfd8-49b1-8efb-90b04cfe9867,Abraino Lomellini
25080,1e123dac-6e67-4b5f-a476-cf28b897c8f3,Simone Lomellini q. Agostino,Simone Lomellini,—hasFather—>,23887,8dc6ac24-99f7-45cd-90e0-e68162c3afff,Agostino Lomellini
25079,4d44a67c-c9b6-4dca-a113-409a78788743,Simone Lomellini q. Agostino,Simone Lomellini,—hasFather—>,23876,958a9811-de13-497d-a58a-90cdb3a5dc8f,Agostino Lomellini
25085,8f55493a-9c00-4c0f-aa27-ac542ed6849d,Simone Lomellini q. Ansaldo,Simone Lomellini,—hasFather—>,23961,33628e9f-7fec-4dc7-be53-48ed2b163914,Ansaldo Lomellini
25086,2ec9e417-761e-46ac-a3b4-6e1116f545b0,Simone Lomellini q. Bonifacio,Simone Lomellini,—hasFather—>,24132,d38db898-243b-477b-9615-61f6898b5243,Bonifacio Lomellini
25077,487d2047-7e07-441e-b306-ab11b9ef0b8c,Simone Lomellini q. Emanuele,Simone Lomellini,—hasFather—>,24294,e2b19061-098e-4cfb-851c-d906d9580d19,Emanuele Lomellini
25078,cde20a67-7190-49e7-8cbc-12371c64d4c9,Simone Lomellini q. Germano,Simone Lomellini,—hasFather—>,24394,16b5b696-647a-472c-91c7-7023dd677e1d,Germano Lomellini
25082,0a0aa159-0880-4992-af71-c58685ab50fd,Simone Lomellini q. Giovanni Battista,Simone Lomellini,—hasFather—>,24485,4cf226b9-b665-414a-863a-cd95006a7819,Giovanni Battista Lomellini
25087,906df4c3-e926-44d4-99a9-d378bd9453bb,Simone Lomellini q. Goffredo,Simone Lomellini,—hasFather—>,24604,645c8dc0-18bc-4245-9303-6b20940837d3,Goffredo Lomellini
25081,c6d9823d-ea82-4625-b08d-39455347dd77,Simone Lomellini q. Paride,Simone Lomellini,—hasFather—>,24966,df1c45f9-9ea6-406d-a8ff-1ab5bb01e79a,Paride Lomellini
25088,667d003d-da07-4f51-a385-1eed30194467,Simone Lomellini q. Paride,Simone Lomellini,—hasFather—>,24967,e14f6d14-55c1-46fc-abb1-8a7f8055ee67,Paride Lomellini
25084,f80be426-53bd-4a9c-85df-9580bd4dbf20,Simone Lomellini q. Pietrino,Simone Lomellini,—hasFather—>,25022,2cc1be33-1085-403c-b90f-b19e3907c8b4,Pietrino Lomellini
25392,934d213d-d204-4adb-8c3b-3f4a88b90c2b,Simone Negrone q. Cosmo,Simone Negrone,—hasFather—>,25382,a9ee3b78-5c7d-426f-893b-8f87ff99e3f4,Cosmo Negrone
25776,20745f5f-1ea2-4423-92dc-18080b797c71,Simone Spinola q. Oberto,Simone Spinola,—hasFather—>,25754,989cfb24-d9d7-4d84-a09e-c2a2dba93a7f,Oberto Spinola
