omeka-IDsource,cidoc-crm:P149_is_identified_by,name_source,edge,cidoc-crm:P152_has_parent,targetID,name_target
24198,1434e461-90e5-4555-b05d-519ef1d659ca,Catetta Lomellini,—hasMother—>,23168,207a161c-0485-425d-aaee-d9c9fbbd842d,Caterina de Carmandino
24987,14a7e483-77a6-448d-8a42-d811a1ef91d9,Pellegra Lomellini,—hasMother—>,23819,03c9c85d-62bb-4b6b-8091-451975bf96f2,Isolta Lecavello
25048,14ace344-9626-40f3-ab2f-6b420b572f5a,Raffaele Lomellini,—hasMother—>,23295,bc572ea1-6a18-4e9d-8d87-a60bca6c9d09,Niccoletta Cicala
24026,14f75e62-fa6f-4bc6-89c5-03e490cbafa7,Bartolommeo Lomellini,—hasMother—>,25740,0818d587-9bf5-487a-9035-7cc389b6a012,Mariola Spinola
24597,14fe185b-9796-4188-90fb-b7d626705f2a,Giuliano Lomellini,—hasMother—>,23280,ec732cd8-dfa3-4de0-9a05-366c78eb5717,Pietra de Ciba
24207,15269e6a-494f-4104-b96a-0a3d4194b02a,Cesare Lomellini,—hasMother—>,25367,ecb86666-2282-4f46-9f05-a8cbf9430a39,Luchesia di Negro
25049,155fbf1c-b161-4894-bc49-6febecff6e07,Raffaele Lomellini,—hasMother—>,25264,2c838e09-9749-4226-945b-a38712411707,Maria de Mari
24794,1572a670-4ca0-4c6e-8b30-680251ca38a3,Maria Lomellini,—hasMother—>,23535,5ed3ead9-872a-49a6-9798-9eb4797dde4f,Battina Gentile Ricci
25109,162bfafd-ae2e-4195-9bcb-c7ccb22c5f29,Stefano Lomellini,—hasMother—>,23272,2dc5584e-e810-43a7-b8e3-dd97edbd7eae,Peretta Centurione Bestagno
24952,169f172e-fb7c-40d4-aa7e-77751f6dd0d4,Ottobono Lomellini,—hasMother—>,23191,186548c5-c0c6-4643-a0eb-a0fbe982d4fd,Battina Cattaneo
24394,16b5b696-647a-472c-91c7-7023dd677e1d,Germano Lomellini,—hasMother—>,25287,4453e243-3d81-4487-b7da-bcc4be33a410,Battina de Marini
24865,16fae15a-2b9b-4db8-a9f2-44e3290bdfb4,Niccoletta Lomellini,—hasMother—>,23535,5ed3ead9-872a-49a6-9798-9eb4797dde4f,Battina Gentile Ricci
24739,1721fba4-25ce-4aee-beae-a7377529a8c0,Maddalena Lomellini,—hasMother—>,23659,2552b322-281d-41e7-ac4c-211f4c9b58c0,Bianca Grimaldi Oliva
24885,17673802-5664-430f-979d-66b05b0097c8,Niccolò Lomellini,—hasMother—>,25612,607f9603-2ac5-4725-81a6-080fc57c93b6,Argenta Spinola
24404,179f2c2d-cfad-4f04-a34c-c545ecfdaa81,Giacoba Lomellini,—hasMother—>,25845,266ed7a2-d79b-4e2e-b8dc-57a26bc0eb44,Argenta Vivaldi
24008,17e09f18-bce3-4cb1-ad3f-0b0a4876b193,Baldassare Lomellini,—hasMother—>,24145,d3f903cf-abbe-4282-959f-941569f55dbf,Brigida Lomellini
24562,17f48bbd-f42d-4741-bff2-9907da8a209d,Gironima Lomellini,—hasMother—>,23353,39695fac-9ce5-402d-a1d7-1d65ae430125,Benedetta Doria
23969,183565e8-8fc5-48e9-a3a9-3024b745d8a2,Antonio Lomellini,—hasMother—>,25554,9707240b-da07-4d83-8690-812fb7a3359b,Tommasina Salvago
24787,18cfbddf-3826-4ef7-b367-a04e67cc325d,Maria Lomellini,—hasMother—>,23435,a424676d-970d-496c-b294-9bb4d8b8e46c,Pietra Doria
25195,18ebcdd2-bc4b-4adc-b0b3-2d5f6c800e63,Valerano Lomellini,—hasMother—>,25738,8bff2fda-fcd5-4bee-bdad-a970c5897828,Maria Spinola
24291,1925ca9f-7714-46f3-b779-5ce1768d7e63,Emanuele Lomellini,—hasMother—>,25886,6c2954fc-6036-41f9-a6b2-695a09aae30a,Bigotta Zaccaria
24558,195420c5-99b1-47e1-9857-2e9b89ec4ac8,Girolamo Lomellini,—hasMother—>,24937,7bae2620-0b9a-405d-8257-566c1600edfa,Orietta Lomellini
24792,1963f136-761a-4269-a637-5c54f67c61b1,Maria Lomellini,—hasMother—>,25368,c644e9e6-9c19-4842-ada7-6e9bd866f0d4,Luigia di Negro
23881,1a2434cc-94a8-4a16-af99-1393c6f0c787,Agostino Lomellini,—hasMother—>,25742,2572e1d7-8a62-4ccd-a0c3-2e6f4e508c1b,Moisetta Spinola
24923,1a28a0f5-7f19-41e8-9e1c-6ac09c9cf25a,Odoardo Lomellini,—hasMother—>,23572,5d75d31d-096b-4750-bad3-b82396765e4b,Maria Gentile Pignoli
24335,1a38e211-bf44-4427-9630-469fb5415bef,Francesco Lomellini,—hasMother—>,25742,2572e1d7-8a62-4ccd-a0c3-2e6f4e508c1b,Moisetta Spinola
25168,1abca802-8ab9-4054-b0bb-e21256e368c8,Tommasina Lomellini,—hasMother—>,24679,2fce458f-43c5-48af-abc0-d0a84b14ab00,Lombardina Lomellini
23996,1b8f0ba6-a29b-4b0b-9d8c-a3691863c09d,Argone Lomellini,—hasMother—>,25407,08247da3-5311-4bd0-9d9a-9be30b6ffd19,Caterina Oltramarini
24643,1badb2a8-fd19-4396-ab8f-a89027df5461,Isabella Lomellini,—hasMother—>,25606,3918a8ed-3761-4ed7-99a2-6a3f58c999bd,Andreola Spinola
24314,1bd263dd-6da6-47be-be07-fb9b61c2aa02,Filippo Lomellini,—hasMother—>,23597,188dd02d-884b-436f-81ec-8439df32e3ea,Isabella Ghizolfi
25236,1be959fe-6d36-446c-9812-9e09223bffb4,Simona da Lumbello,—hasMother—>,23175,f16e51dd-6f62-4887-9dfd-fb888f9c9df4,Giacoba Cartagenia
24587,1c15ff47-9e4a-4e5d-92b7-bcec7cbe1cb5,Gironima Lomellini,—hasMother—>,25170,8f48bf00-491a-411e-9db5-80f02f9d552c,Tommasina Lomellini
24579,1c5dad2f-4283-444d-b841-7925d7da76f5,Gironima Lomellini,—hasMother—>,23042,f447cf9f-24c6-410f-9b9f-0b65661e0af8,Porzia —
24355,1cc49be5-d42c-46eb-bccc-ecc1f95c3344,Francisca Lomellini,—hasMother—>,24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,Benedetta Lomellini
24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,Benedetta Lomellini,—hasMother—>,23571,119035c6-45fe-4fda-90cd-660d1e31d54b,Maria Gentile Pallavicini
24186,1cdef422-2532-4219-a4a6-7e200ea31f93,Caterina Lomellini,—hasMother—>,23083,c9d11660-9fc8-4c28-b1b8-d4613650f36f,Primafore de Benamà
24439,1cf1a645-d07e-4758-840d-69cab6296c6a,Ginevra Lomellini,—hasMother—>,24080,1cd8b9ea-99cd-4a23-a6d0-1fc7bb4e089b,Benedetta Lomellini
24781,1d2830db-d300-4632-819f-e8663943c162,Maria Lomellini,—hasMother—>,24150,cb9ccc03-acf2-4f24-9beb-8218f459d3fd,Camilla Lomellini
23913,1d3971be-bef5-4b7f-a69d-b20228560275,Ambrogio Lomellini,—hasMother—>,23541,59f80a01-d3c5-46cf-9e74-734443a1a493,Caterina Gentile Pignoli
24387,1d500cae-3317-4159-bfeb-ef1e739adcc6,Gaspare Lomellini,—hasMother—>,23579,2fc6f5fb-23dc-4b1d-9eb4-46701fbdd8ff,Pellegra Gentile Pignoli
23930,1d5234a6-8656-4484-9264-b3e1a8adc102,Andreola Lomellini,—hasMother—>,25285,cd7b1554-f53c-4395-b14f-a36688425865,Aranetta de Marini
24887,1d9811bb-d6f2-48de-ab47-d05dbe34c3b8,Niccolò Lomellini,—hasMother—>,25494,53fcbf3a-939e-4fd2-8704-1309bf49ace3,Violante Pinelli Ardimenti
24237,1d99f19b-6877-44fe-8c3a-87853820695f,Costanza Lomellini,—hasMother—>,23353,39695fac-9ce5-402d-a1d7-1d65ae430125,Benedetta Doria
24731,1d9ddf68-2987-4dfb-a419-1f1a442c3d64,Luigia Lomellini,—hasMother—>,23440,9d566fef-8296-4d09-81f0-c3e7138708b8,Tobietta Doria
24626,1d9ee6d9-3ff6-4097-91e7-3bb10ec6c423,Imperiale Lomellini,—hasMother—>,25375,323f177a-2bf3-4c86-9120-fd883f493288,Teodora di Negro
24625,1df36f5f-7da2-4bcf-9564-b59194b5ee6d,Illario Lomellini,—hasMother—>,23855,b8a9881d-664d-4318-8a33-a8ed4087a5ef,Selvagia Lercari
25079,1e123dac-6e67-4b5f-a476-cf28b897c8f3,Simone Lomellini,—hasMother—>,24574,1e792ee6-6c78-4a1d-8313-d81bacd4ec9f,Gironima Lomellini
