cidoc-crm:P143_joined,targetID,edgeHusband,omeka-SRCID,cidoc-crm:P149_is_identified_by,targetName
23245,1a71b753-99d7-4b33-aba6-5afda58ab35e,—marriedTo—>,25040,4373b208-74b4-4085-be68-e10b2e3c5be9,
23717,1bd8187a-030a-463c-b337-c3275b8e65e8,—marriedTo—>,24777,d0fce926-5322-4152-a8ad-e6d2494193d0,
25579,1be7f7da-e556-4d84-8b56-37077aa38790,—marriedTo—>,25135,9ab597ad-3260-47e1-a6f5-08ac022c596f,
23680,1c73ea1a-46a5-4b93-853b-86061519adeb,—marriedTo—>,24197,d3ef795a-c73c-419e-8c07-7f6b5fce0591,
23680,1c73ea1a-46a5-4b93-853b-86061519adeb,—marriedTo—>,23627,7c1b126b-b12b-42fb-98af-29bc1f6cf88e,
25257,1cca88b7-e027-4299-befd-cc4ea46fe72c,—marriedTo—>,24186,1cdef422-2532-4219-a4a6-7e200ea31f93,
24887,1d9811bb-d6f2-48de-ab47-d05dbe34c3b8,—marriedTo—>,25427,5cc32461-b224-405f-965d-c45146c9f7b7,
24237,1d99f19b-6877-44fe-8c3a-87853820695f,—marriedTo—>,25411,f6cf186d-bc9a-4c2e-9111-76623e8a5fb0,
24626,1d9ee6d9-3ff6-4097-91e7-3bb10ec6c423,—marriedTo—>,25264,2c838e09-9749-4226-945b-a38712411707,
25491,1dc2cd44-9179-449c-b672-81fa767cbdc4,—marriedTo—>,23712,a3d49b8f-6ca2-452a-8b2a-d41a73b7abe9,
23278,1e09b542-5075-4c09-8386-26a67dc4331f,—marriedTo—>,25068,ed751e0b-6596-4dc1-87f5-45d04a46afdf,
24607,1e77f6a1-90ec-490f-8183-3e0efb843f9c,—marriedTo—>,23698,c8363f22-dac5-4483-a319-a41c6782e47d,
24321,1f6533e3-5f0c-4c57-b5e3-71cd90f07497,—marriedTo—>,25883,54f985fb-0109-45b9-965e-7a1f40ea89e9,
24321,1f6533e3-5f0c-4c57-b5e3-71cd90f07497,—marriedTo—>,24829,a9105026-28a7-446f-a3b3-e83e4c437cf6,
23300,1f886a05-405c-49e5-b660-dfa54b28f82f,—marriedTo—>,24791,b56c9245-62d4-4f56-aae1-e73cec496d76,
23059,1fc36760-2f9d-4b09-aae7-41b374926b27,—marriedTo—>,24825,d7f0b9c2-2160-49b5-960e-f22b3654709d,
23702,1fd9865c-c56f-4b29-8b97-c8bf4777d729,—marriedTo—>,24590,68004009-3989-45ab-a0b9-6db4ae372c97,
25107,1fe75e5e-4a72-4c92-b0c6-c84d5050877c,—marriedTo—>,25832,b4e1ebcf-5b3d-464e-94f7-adcd8bd30205,
25107,1fe75e5e-4a72-4c92-b0c6-c84d5050877c,—marriedTo—>,23993,087b4932-fed1-4ef7-9500-0c8182edd1cc,
24835,203b7eb3-503c-40ce-9a31-fdf7bd1d1319,—marriedTo—>,25536,ce4daa60-c1d0-4255-a430-963e76aa214a,
25776,20745f5f-1ea2-4423-92dc-18080b797c71,—marriedTo—>,23871,c56afacc-fa22-4d31-a7f9-377782727318,
23292,20ad5d17-2ba6-4715-94ae-2578969c2763,—marriedTo—>,24218,c55c3091-d33e-4cf9-9545-413c363ea3c5,
23899,20e944ff-6fa8-408b-a1ee-ca51d15a4d90,—marriedTo—>,23039,05e88f7e-c475-474e-981f-b94e77bb30df,
25684,2105699b-0713-4e27-b41a-9952747c1b7a,—marriedTo—>,24276,a422a418-7e26-4847-9bb0-ae2de608a43b,
23120,217ebc48-9198-4745-b7a6-8216be1a298a,—marriedTo—>,24148,cb27776b-2a62-4976-8033-eb44e673a983,
25764,21ced327-a5cf-4521-ba09-91f3d2ac72cc,—marriedTo—>,24015,85382277-6aec-4bc2-9c3b-978e04122c81,
25835,223c1d9a-480e-473f-93e1-c8e0ce0edcfd,—marriedTo—>,24196,a3e17c87-137a-4f97-b013-54c99d9a8a40,
23249,225f35b9-76f6-43ad-af23-80ae3ef0b701,—marriedTo—>,24302,13d8f601-0486-4522-96cd-c10275546538,
24429,228bbbf9-cdf4-4cc1-9bf6-c8e857c4c017,—marriedTo—>,23533,04d11860-6929-4227-99e4-23028eb55c61,
24455,2293a4b3-3735-400c-b1d7-7ccb4bd1404e,—marriedTo—>,23606,f4ad5a40-509b-4598-bcaf-30dce9cc86a1,
24620,22cc1c48-1225-4878-89a2-f1bc55d6225f,—marriedTo—>,23012,d01244fb-92c1-485d-9655-558327dfa9a9,
25650,230ec007-94a3-4199-9c07-08ecce986c80,—marriedTo—>,24022,60b584d8-3c42-40fe-aac9-36744fbb675b,
24674,242c7a60-e508-487b-83d6-fa482110cbc6,—marriedTo—>,23071,08b48cf3-cce7-4657-8332-2e059dbd6c4b,
24674,242c7a60-e508-487b-83d6-fa482110cbc6,—marriedTo—>,25670,982472cc-4af6-425d-8b4e-600c13312ee9,
24861,24cdd68f-7a48-404f-b233-011d90bea9e5,—marriedTo—>,23620,5d13c7bf-cf75-4f89-81c4-46cb1e927c04,
25355,2528f0ae-8b57-4120-bba4-96d11f45b625,—marriedTo—>,24714,9aeeb9a8-2b5e-483d-8826-ec1788c681d5,
24914,257599c6-a755-4b6b-8dd0-391e68f6fb5b,—marriedTo—>,25368,c644e9e6-9c19-4842-ada7-6e9bd866f0d4,
23455,25b64152-ec7a-4c8d-967d-d1a150cff585,—marriedTo—>,24818,41a4d8a5-8419-4f0f-8787-a42d154c573b,
